Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
01-06-2011,ASIANPAINT,EQ,3133.4,3145.1,3194,3061.5,3170,3169.35,3156.21,192349,6.07094E+13,11665,89136,0.46340000000000003
02-06-2011,ASIANPAINT,EQ,3169.35,3159,3171.8,3087,3110.05,3105.05,3133.25,211697,6.633E+13,6690,169251,0.7995000000000001
03-06-2011,ASIANPAINT,EQ,3105.05,3105.05,3190,3099.95,3181,3167.8,3153.77,83355,2.62882E+13,5398,45782,0.5492
06-06-2011,ASIANPAINT,EQ,3167.8,3160.2,3188.85,3141.25,3169.5,3170.05,3163.77,46291,1.46454E+13,4838,20367,0.44
07-06-2011,ASIANPAINT,EQ,3170.05,3170.1,3229.8,3155,3196,3206.15,3202.18,82014,2.62623E+13,8868,27403,0.33409999999999995
08-06-2011,ASIANPAINT,EQ,3206.15,3190,3230,3133.35,3211.15,3204.3,3205.95,79199,2.53908E+13,7255,32075,0.405
09-06-2011,ASIANPAINT,EQ,3204.3,3199,3199,3086.2,3098,3095.95,3141.76,127337,4.00062E+13,10223,52688,0.41380000000000006
10-06-2011,ASIANPAINT,EQ,3095.95,3100,3135,3060.5,3102,3100.85,3091.66,64143,1.98309E+13,6700,15555,0.2425
13-06-2011,ASIANPAINT,EQ,3100.85,3096.95,3119,3053.1,3062.05,3065.15,3065.57,118150,3.62198E+13,7621,86666,0.7334999999999999
14-06-2011,ASIANPAINT,EQ,3065.15,3096.95,3096.95,3055,3074.8,3068.95,3069.55,64246,1.97206E+13,6348,39039,0.6076
15-06-2011,ASIANPAINT,EQ,3068.95,3078.95,3089.85,3060,3066,3064.6,3073.32,56191,1.72693E+13,6726,33288,0.5924
16-06-2011,ASIANPAINT,EQ,3064.6,3053.95,3062,3015,3030,3019.25,3034.24,125044,3.79414E+13,9431,80338,0.6425
17-06-2011,ASIANPAINT,EQ,3019.25,3026.15,3040,2994,3004.9,3002.8,3013.23,43233,1.30271E+13,4083,18161,0.4201
20-06-2011,ASIANPAINT,EQ,3002.8,3005.05,3013.85,2905,2964,2947.5,2955.37,57240,16916544794999.998,4766,30540,0.5335
21-06-2011,ASIANPAINT,EQ,2947.5,2950.15,2979.9,2927,2952.2,2951.45,2955.7,34200,1.01085E+13,4473,15006,0.4388
22-06-2011,ASIANPAINT,EQ,2951.45,2989,2989,2917,2940,2932.4,2942.69,32689,9.61936E+12,4910,16590,0.5075000000000001
23-06-2011,ASIANPAINT,EQ,2932.4,2901,2974.9,2901,2955,2956.7,2930.74,30763,9.01582E+12,3971,14721,0.47850000000000004
24-06-2011,ASIANPAINT,EQ,2956.7,2964,3024.95,2962.15,2978.65,2979.8,2984.29,94801,28291323214999.996,5711,64009,0.6752
27-06-2011,ASIANPAINT,EQ,2979.8,2968.7,3126.05,2930.5,3124,3114.2,3057.62,104335,3.19017E+13,13480,49176,0.47130000000000005
28-06-2011,ASIANPAINT,EQ,3114.2,3119,3181.9,3091.25,3152.9,3160.9,3151.27,116189,3.66143E+13,16798,45137,0.3885
29-06-2011,ASIANPAINT,EQ,3160.9,3170.15,3187.75,3111.05,3136.8,3141.95,3146.35,49955,15717584444999.998,5141,16725,0.3348
30-06-2011,ASIANPAINT,EQ,3141.95,3152,3227,3132.1,3161,3185.1,3186.98,146943,4.68304E+13,9501,87672,0.5966
01-07-2011,ASIANPAINT,EQ,3185.1,3185,3350,3175.35,3350,3313.95,3274.33,160555,5.2571E+13,20871,81902,0.5101
04-07-2011,ASIANPAINT,EQ,3313.95,3341.15,3368.8,3283.55,3298,3296.65,3324.14,94565,3.14347E+13,10191,39641,0.4192
05-07-2011,ASIANPAINT,EQ,3296.65,3250,3312,3234.1,3243.25,3240,3256.58,48987,15953015480000.002,5880,23111,0.4718
06-07-2011,ASIANPAINT,EQ,3240,3235,3288.4,3211,3245,3239.3,3257.79,53723,17501807694999.998,5511,25551,0.4756
07-07-2011,ASIANPAINT,EQ,3239.3,3258,3265,3171.1,3196.5,3201.1,3220.77,124029,3.99469E+13,8288,44746,0.3608
08-07-2011,ASIANPAINT,EQ,3201.1,3205.8,3244,3150.15,3155,3158.6,3205.58,66354,2.12703E+13,5429,25384,0.3826
11-07-2011,ASIANPAINT,EQ,3158.6,3158,3185,3141,3152.2,3155.6,3166.83,51182,1.62085E+13,2900,35342,0.6905
12-07-2011,ASIANPAINT,EQ,3155.6,3148.75,3148.75,3082.5,3090,3094.75,3114.31,51469,16029056594999.998,4348,21933,0.4261
13-07-2011,ASIANPAINT,EQ,3094.75,3119.9,3156,3090,3140,3124.45,3109.61,146967,4.5701E+13,6521,122184,0.8314
14-07-2011,ASIANPAINT,EQ,3124.45,3125,3171.7,3091.6,3127,3130.2,3148.7,78891,2.48404E+13,11366,42322,0.5365
15-07-2011,ASIANPAINT,EQ,3130.2,3140,3194.8,3115.5,3181,3180.55,3164.01,67630,2.13982E+13,7214,28494,0.4213
18-07-2011,ASIANPAINT,EQ,3180.55,3190.05,3197.65,3157.15,3169,3168.1,3173.37,22113,7017268759999.999,2804,6406,0.2897
19-07-2011,ASIANPAINT,EQ,3168.1,3177,3189.7,3136.05,3140,3141.15,3151.46,28670,9.03523E+12,2904,16185,0.5645
20-07-2011,ASIANPAINT,EQ,3141.15,3170.95,3170.95,3095.15,3125.9,3123.5,3128.04,52547,1.64369E+13,6841,23472,0.44670000000000004
21-07-2011,ASIANPAINT,EQ,3123.5,3112.95,3130.5,3095.5,3105.4,3112.45,3110.63,23107,7.18772E+12,2148,7438,0.32189999999999996
22-07-2011,ASIANPAINT,EQ,3112.45,3118.05,3144.55,3100,3104.95,3110.9,3124.3,34866,1.08932E+13,3897,17127,0.49119999999999997
25-07-2011,ASIANPAINT,EQ,3110.9,3137,3137,3092.1,3120.35,3113.95,3109.75,39141,1.21719E+13,5250,22956,0.5865
26-07-2011,ASIANPAINT,EQ,3113.95,3095.45,3159,3060,3147.05,3139.1,3124.01,202017,63110360645000.01,17947,77743,0.3848
27-07-2011,ASIANPAINT,EQ,3139.1,3145,3167.5,3118.05,3141,3143,3136.29,163524,5.12858E+13,5475,128312,0.7847
28-07-2011,ASIANPAINT,EQ,3143,3105.85,3143,3105.85,3115,3120.85,3121.98,155200,4.84531E+13,8699,108489,0.6990000000000001
29-07-2011,ASIANPAINT,EQ,3120.85,3122.4,3140.05,3115,3131.95,3134,3129.24,28578,8.94275E+12,4250,14251,0.4987
01-08-2011,ASIANPAINT,EQ,3134,3141.95,3163,3053.5,3055.5,3067.85,3100.07,36332,1.12632E+13,5684,17246,0.4747
02-08-2011,ASIANPAINT,EQ,3067.85,3067.85,3069,3001.1,3054.75,3052.15,3047.39,177189,53996461954999.99,10073,147214,0.8308
03-08-2011,ASIANPAINT,EQ,3052.15,3015,3068.6,3010,3025,3023.2,3036.85,66841,2.02986E+13,4706,47130,0.7051000000000001
04-08-2011,ASIANPAINT,EQ,3023.2,3011.15,3119.95,3011.15,3093,3091.65,3078.97,53783,1.65596E+13,5418,26350,0.48990000000000006
05-08-2011,ASIANPAINT,EQ,3091.65,3091.65,3095,3012,3055,3058.9,3061.6,129372,3.96085E+13,6783,85703,0.6625
08-08-2011,ASIANPAINT,EQ,3058.9,3015.05,3109,3010,3070,3080.7,3069.09,46725,14340318455000.002,5844,23182,0.4961
09-08-2011,ASIANPAINT,EQ,3080.7,3070,3164,2988,3135.5,3148,3113.84,88749,2.7635E+13,11993,44904,0.506
10-08-2011,ASIANPAINT,EQ,3148,3125,3195,3125,3155,3154.85,3170.39,52720,1.67143E+13,5368,22057,0.41840000000000005
11-08-2011,ASIANPAINT,EQ,3154.85,3155,3186.95,3130.35,3144,3148.65,3164.23,25513,8.07289E+12,4372,9276,0.3636
12-08-2011,ASIANPAINT,EQ,3148.65,3179.65,3244.7,3153.6,3200.25,3229.1,3218.05,141862,4.56519E+13,7545,106117,0.748
16-08-2011,ASIANPAINT,EQ,3229.1,3240,3289,3203,3253,3260.1,3265.72,69959,2.28467E+13,9359,39132,0.5594
17-08-2011,ASIANPAINT,EQ,3260.1,3265.05,3288.95,3219.35,3219.35,3244.5,3261.76,118529,3.86613E+13,9725,72283,0.6098
18-08-2011,ASIANPAINT,EQ,3244.5,3259.95,3259.95,3193.95,3235,3216.75,3218.96,35720,1.14981E+13,3662,18842,0.5275
19-08-2011,ASIANPAINT,EQ,3216.75,3200,3224.95,3159.45,3190,3175.35,3181.24,52792,1.67944E+13,3691,35816,0.6784
22-08-2011,ASIANPAINT,EQ,3175.35,3173.15,3310,3155.95,3300.05,3291.25,3246.52,48466,1.57346E+13,5583,20628,0.42560000000000003
23-08-2011,ASIANPAINT,EQ,3291.25,3300.05,3333,3259,3270,3274.35,3291.04,47592,1.56627E+13,8014,19500,0.4097
24-08-2011,ASIANPAINT,EQ,3274.35,3275,3292,3211,3211,3228.4,3239.93,51509,1.66885E+13,12243,26269,0.51
25-08-2011,ASIANPAINT,EQ,3228.4,3240.05,3285,3191.7,3278,3264.8,3249.87,36518,1.18679E+13,4409,16983,0.4651
26-08-2011,ASIANPAINT,EQ,3264.8,3247.95,3307.65,3247.95,3255.15,3263.2,3282.24,22595,7.41622E+12,3162,9112,0.4033
29-08-2011,ASIANPAINT,EQ,3263.2,3265.8,3310,3231,3300,3296.8,3282.01,35257,1.15714E+13,4579,15439,0.4379
30-08-2011,ASIANPAINT,EQ,3296.8,3318.9,3324.9,3251,3290,3286.05,3277.25,38886,1.27439E+13,4316,22942,0.59
02-09-2011,ASIANPAINT,EQ,3286.05,3260,3327.9,3245,3248,3260.15,3276,88939,29136394685000.004,16631,55198,0.6206
05-09-2011,ASIANPAINT,EQ,3260.15,3245.05,3321.85,3245,3275,3271.55,3287.45,143155,4.70615E+13,8180,118966,0.831
06-09-2011,ASIANPAINT,EQ,3271.55,3275,3280,3210.1,3257,3258.3,3250.96,85908,2.79284E+13,10515,51831,0.6033
07-09-2011,ASIANPAINT,EQ,3258.3,3258.25,3278.95,3211.25,3228,3221.25,3233.34,35007,1.1319E+13,5549,17438,0.49810000000000004
08-09-2011,ASIANPAINT,EQ,3221.25,3221,3231.95,3156,3177.8,3181.7,3192.34,65383,2.08725E+13,8310,35264,0.5393
09-09-2011,ASIANPAINT,EQ,3181.7,3191,3227,3162.2,3188.4,3188.65,3199.03,32649,1.04445E+13,3510,14491,0.44380000000000003
12-09-2011,ASIANPAINT,EQ,3188.65,3179.95,3217,3156.05,3161.05,3175.95,3192.68,38966,1.24406E+13,4938,22245,0.5709000000000001
13-09-2011,ASIANPAINT,EQ,3175.95,3180.05,3200,3132,3132,3146.85,3176.5,49386,1.56875E+13,5048,25893,0.5243
14-09-2011,ASIANPAINT,EQ,3146.85,3157.85,3157.85,3112,3116,3128.35,3132.59,31893,9.99076E+12,5115,13666,0.42850000000000005
15-09-2011,ASIANPAINT,EQ,3128.35,3137.4,3145,3108.55,3129,3126.35,3125.8,27601,8.62751E+12,4423,12086,0.4379
16-09-2011,ASIANPAINT,EQ,3126.35,3130,3151,3001.3,3030,3038.85,3082.48,78525,2.42052E+13,8715,50575,0.6441
19-09-2011,ASIANPAINT,EQ,3038.85,3040.05,3068,3028.1,3050.1,3050.8,3046.79,36737,1.1193E+13,4421,15811,0.4304
20-09-2011,ASIANPAINT,EQ,3050.8,3031.6,3105,3031.6,3078.5,3077.9,3080.37,38563,1.18788E+13,4063,23591,0.6118
21-09-2011,ASIANPAINT,EQ,3077.9,3087.95,3108.95,3070.15,3094.05,3093.5,3090.78,22810,7050073309999.999,3556,10625,0.4658
22-09-2011,ASIANPAINT,EQ,3093.5,3050.15,3130,3050.15,3100.1,3101.4,3103.9,42871,1.33067E+13,4975,17186,0.40090000000000003
23-09-2011,ASIANPAINT,EQ,3101.4,3099.95,3150,3075,3085,3090.4,3120.63,73185,2.28384E+13,5529,47673,0.6514
26-09-2011,ASIANPAINT,EQ,3090.4,3090.05,3122.85,3041,3081,3081.3,3068.41,26840,8.23562E+12,2702,15441,0.5753
27-09-2011,ASIANPAINT,EQ,3081.3,3125,3125,3075,3088.95,3096.9,3093.15,25485,7.8829E+12,3108,13625,0.5346000000000001
28-09-2011,ASIANPAINT,EQ,3096.9,3119.8,3145,3091.2,3133,3134.1,3129.7,41672,1.30421E+13,8399,25270,0.6064
29-09-2011,ASIANPAINT,EQ,3134.1,3126.05,3170,3105,3150,3154.3,3150.71,103790,3.27013E+13,9890,78637,0.7576999999999999
30-09-2011,ASIANPAINT,EQ,3154.3,3159.95,3165,3127.05,3159,3157.55,3146.54,80540,2.53422E+13,5744,69303,0.8605
03-10-2011,ASIANPAINT,EQ,3157.55,3133.45,3159,3075.1,3145,3129.4,3113.28,50900,15846580544999.998,7332,36709,0.7212000000000001
04-10-2011,ASIANPAINT,EQ,3129.4,3111.15,3174,3062,3070,3078.5,3129.79,44576,1.39514E+13,5517,24480,0.5492
05-10-2011,ASIANPAINT,EQ,3078.5,3082,3098.95,2994.9,3031,3028.4,3023.03,69000,2.08589E+13,8304,42792,0.6202000000000001
07-10-2011,ASIANPAINT,EQ,3028.4,3084.8,3154.9,3030.05,3154.9,3128.85,3096.3,72131,2.23339E+13,8734,46502,0.6447
10-10-2011,ASIANPAINT,EQ,3128.85,3127.95,3188,3112.25,3170,3173,3167.23,56284,1.78264E+13,6496,30208,0.5367000000000001
11-10-2011,ASIANPAINT,EQ,3173,3198.95,3209.9,3155,3174.5,3172.4,3177.97,27125,8620240084999.999,4187,13238,0.488
12-10-2011,ASIANPAINT,EQ,3172.4,3186.85,3200,3160,3177,3175.25,3182.52,33501,1.06618E+13,5456,21041,0.6281
13-10-2011,ASIANPAINT,EQ,3175.25,3198,3208,3165.05,3174.8,3171.75,3177.65,79635,2.53052E+13,4597,65755,0.8257
